__quarterly__,yw_gap,rw,rrw_tnd,roc_cpiw,y_gap,roc_y_tnd,roc_cpi,e,r,rr_tnd,roc_re_tnd,__eof__
,Foreign demand gap,"Foreign short-term rate, FCY","Foreign real short-term rate, FCY","Foreign CPI, Rate of change",GDP gap,"GDP trend (potential), Rate of change","CPI, Rate of change",Nominal exchange rate,Short-term cash rate,Real short-term rate trend,Real exchange rate trend,__eof__
2013Q2,1,0.006595996,0.001625,1.004962932,1,1.009853407,1.012272234,0.942426262,0.019864276,0.0075,0.994962056,__eof__
2013Q3,1,0.006595996,0.001625,1.004962932,1,1.009853407,1.012272234,0.9444983,0.019864276,0.0075,0.994962056,__eof__
2013Q4,1,0.006595996,0.001625,1.004962932,1,1.009853407,1.012272234,0.946574893,0.019864276,0.0075,0.994962056,__eof__
2014Q1,1,0.006595996,0.001625,1.004962932,1,1.009853407,1.012272234,0.948656053,0.019864276,0.0075,0.994962056,__eof__
2014Q2,1,0.006595996,0.001625,1.004962932,1,1.009853407,1.012272234,0.950741788,0.019864276,0.0075,0.994962056,__eof__
2014Q3,1,0.006595996,0.001625,1.004962932,1,1.009853407,1.012272234,0.952832108,0.019864276,0.0075,0.994962056,__eof__
2014Q4,1,0.006595996,0.001625,1.004962932,1,1.009853407,1.012272234,0.954927025,0.019864276,0.0075,0.994962056,__eof__
2015Q1,1.002691952,0.008385195,0.001625,1.014220241,0.989613105,1.009623956,1.008262152,0.971218504,0.021502627,0.007862702,0.994319083,__eof__
2015Q2,1.004015604,0.008249241,0.001625,1.007980653,1.0008597,1.010203534,1.012216095,0.979162629,0.021237374,0.009019796,0.994020461,__eof__
2015Q3,1.008042992,0.008773402,0.001625,1.006944149,1.012215021,1.011650655,1.010263756,0.985395854,0.021258067,0.009493018,0.993881984,__eof__
2015Q4,0.994773028,0.008986672,0.001625,0.998592434,1.010696197,1.011574452,1.012277087,0.997207178,0.021388628,0.009225924,0.994213575,__eof__
2016Q1,0.994516726,0.008753839,0.001625,1.004315404,1.009590789,1.011155095,1.011812364,0.998280676,0.020100394,0.008606277,0.994074849,__eof__
