__yearly__,nmgni_y,mgni_y,pmgni_y,,__quarterly__,gdp,ngdp,nmgni,mgni,pgdp,pmgni,cpi,rs,ea_cpi,us_cpi,us_rs,,__monthly__,cpi_mu,cpi_m,rs_m,ea_cpi_mu,ea_cpi_m,us_cpi_m,us_rs_m,,__eof__
,Nominal modified GNI,Real modified GNI,,,,Real GDP,Nominal GDP,,,,,,"Euribor 3-month - Historical close, average of observations through period",,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,"3-Month Treasury Bill Secondary Market Rate, Discount Basis",,,"Consumer price index, 2016=100",,"Euribor 3-month - Historical close, average of observations through period",HICP - Overall index,,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,"3-Month Treasury Bill Secondary Market Rate, Discount Basis",,__eof__
1995Y,50116,100184,0.500239559211052,,1934Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.526666666666667,,1934M01,NaN,NaN,NaN,NaN,NaN,NaN,0.72,,__eof__
1996Y,55327,107842,0.513037592032789,,1934Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.153333333333333,,1934M02,NaN,NaN,NaN,NaN,NaN,NaN,0.62,,__eof__
1997Y,62783,117410,0.534732986968742,,1934Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.183333333333333,,1934M03,NaN,NaN,NaN,NaN,NaN,NaN,0.24,,__eof__
1998Y,72255,125945,0.573702806780738,,1934Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25,,1934M04,NaN,NaN,NaN,NaN,NaN,NaN,0.15,,__eof__
1999Y,80717,135630,0.595126446951264,,1935Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18,,1934M05,NaN,NaN,NaN,NaN,NaN,NaN,0.16,,__eof__
2000Y,94223,147596,0.638384509065286,,1935Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.15,,1934M06,NaN,NaN,NaN,NaN,NaN,NaN,0.15,,__eof__
2001Y,103627,149642,0.692499431977653,,1935Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17,,1934M07,NaN,NaN,NaN,NaN,NaN,NaN,0.15,,__eof__
2002Y,112825,152839,0.738195094184076,,1935Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17,,1934M08,NaN,NaN,NaN,NaN,NaN,NaN,0.19,,__eof__
2003Y,123735,159152,0.777464310847492,,1936Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2,,1934M09,NaN,NaN,NaN,NaN,NaN,NaN,0.21,,__eof__
2004Y,132562,169655,0.781362176181073,,1936Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2,,1934M10,NaN,NaN,NaN,NaN,NaN,NaN,0.27,,__eof__
2005Y,144136,178167,0.808993809179029,,1936Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17,,1934M11,NaN,NaN,NaN,NaN,NaN,NaN,0.25,,__eof__
2006Y,157818,186545,0.846004985392265,,1936Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.12,,1934M12,NaN,NaN,NaN,NaN,NaN,NaN,0.23,,__eof__
2007Y,165428,192925,0.857473111312686,,1937Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.233333333333333,,1935M01,NaN,NaN,NaN,NaN,NaN,NaN,0.2,,__eof__
2008Y,156420,184647,0.847129928999659,,1937Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.443333333333333,,1935M02,NaN,NaN,NaN,NaN,NaN,NaN,0.19,,__eof__
2009Y,134260,166739,0.805210538626236,,1937Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.293333333333333,,1935M03,NaN,NaN,NaN,NaN,NaN,NaN,0.15,,__eof__
2010Y,129125,167117,0.772662266555766,,1937Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.133333333333333,,1935M04,NaN,NaN,NaN,NaN,NaN,NaN,0.15,,__eof__
2011Y,127595,160905,0.792983437432025,,1938Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0866666666666667,,1935M05,NaN,NaN,NaN,NaN,NaN,NaN,0.15,,__eof__
2012Y,127242,157646,0.807137510625071,,1938Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0633333333333333,,1935M06,NaN,NaN,NaN,NaN,NaN,NaN,0.15,,__eof__
2013Y,136794,166971,0.819268016601685,,1938Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07,,1935M07,NaN,NaN,NaN,NaN,NaN,NaN,0.15,,__eof__
2014Y,148848,181519,0.820013331937704,,1938Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04,,1935M08,NaN,NaN,NaN,NaN,NaN,NaN,0.16,,__eof__
2015Y,161898,178168,0.908681693682367,,1939Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03,,1935M09,NaN,NaN,NaN,NaN,NaN,NaN,0.2,,__eof__
2016Y,172235,186649,0.922774834046794,,1939Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03,,1935M10,NaN,NaN,NaN,NaN,NaN,NaN,0.2,,__eof__
2017Y,182959,195330,0.936666154712538,,1939Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0766666666666667,,1935M11,NaN,NaN,NaN,NaN,NaN,NaN,0.16,,__eof__
2018Y,193975,204016,0.950783271900243,,1939Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0466666666666667,,1935M12,NaN,NaN,NaN,NaN,NaN,NaN,0.15,,__eof__
2019Y,210736,209699,1.00494518333421,,1940Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0166666666666667,,1936M01,NaN,NaN,NaN,NaN,NaN,NaN,0.2,,__eof__
2020Y,199996,199996,1,,1940Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06,,1936M02,NaN,NaN,NaN,NaN,NaN,NaN,0.2,,__eof__
2021Y,233879,230713,1.01372267709232,,1940Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0466666666666667,,1936M03,NaN,NaN,NaN,NaN,NaN,NaN,0.2,,__eof__
,,,,,1940Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,,1936M04,NaN,NaN,NaN,NaN,NaN,NaN,0.2,,__eof__
,,,,,1941Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0566666666666667,,1936M05,NaN,NaN,NaN,NaN,NaN,NaN,0.2,,__eof__
,,,,,1941Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11,,1936M06,NaN,NaN,NaN,NaN,NaN,NaN,0.2,,__eof__
,,,,,1941Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.116666666666667,,1936M07,NaN,NaN,NaN,NaN,NaN,NaN,0.15,,__eof__
,,,,,1941Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.233333333333333,,1936M08,NaN,NaN,NaN,NaN,NaN,NaN,0.2,,__eof__
,,,,,1942Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.256666666666667,,1936M09,NaN,NaN,NaN,NaN,NaN,NaN,0.16,,__eof__
,,,,,1942Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.353333333333333,,1936M10,NaN,NaN,NaN,NaN,NaN,NaN,0.13,,__eof__
,,,,,1942Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1936M11,NaN,NaN,NaN,NaN,NaN,NaN,0.11,,__eof__
,,,,,1942Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1936M12,NaN,NaN,NaN,NaN,NaN,NaN,0.12,,__eof__
,,,,,1943Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1937M01,NaN,NaN,NaN,NaN,NaN,NaN,0.17,,__eof__
,,,,,1943Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1937M02,NaN,NaN,NaN,NaN,NaN,NaN,0.15,,__eof__
,,,,,1943Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1937M03,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,__eof__
,,,,,1943Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1937M04,NaN,NaN,NaN,NaN,NaN,NaN,0.56,,__eof__
,,,,,1944Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1937M05,NaN,NaN,NaN,NaN,NaN,NaN,0.41,,__eof__
,,,,,1944Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1937M06,NaN,NaN,NaN,NaN,NaN,NaN,0.36,,__eof__
,,,,,1944Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1937M07,NaN,NaN,NaN,NaN,NaN,NaN,0.28,,__eof__
,,,,,1944Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1937M08,NaN,NaN,NaN,NaN,NaN,NaN,0.29,,__eof__
,,,,,1945Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1937M09,NaN,NaN,NaN,NaN,NaN,NaN,0.31,,__eof__
,,,,,1945Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1937M10,NaN,NaN,NaN,NaN,NaN,NaN,0.2,,__eof__
,,,,,1945Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1937M11,NaN,NaN,NaN,NaN,NaN,NaN,0.09,,__eof__
,,,,,1945Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1937M12,NaN,NaN,NaN,NaN,NaN,NaN,0.11,,__eof__
,,,,,1946Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,,1938M01,NaN,NaN,NaN,NaN,NaN,NaN,0.1,,__eof__
